business_id,name,address,city,state
31044,EDUCARE LEARNING CENTER,,Lexington,KY
69420,EDYTHE J HAYES MIDDLE SCHOOL,,Lexington,KY
93443,EL BUEN TACO,,Lexington,KY
76884,EL CHARRO AUTHENTIC MEXICAN CUISINE,,Lexington,KY
47339,EL CIELO BAR,,Lexington,KY
86918,EL GRAN TAKO #2,,Lexington,KY
31592,EL HABANERO LOKO,,Lexington,KY
32479,EL MALECON,,Lexington,KY
81712,EL MARIACHI MEXICAN RESTAURANT,,Lexington,KY
67778,EL MILAGRO DOS,,Lexington,KY
69603,EL RANCHO TAPATIO TAQUERIA &,,Lexington,KY
74015,EL REY DE-LOS POLLOS & EL REY DE MARISCOS,,Lexington,KY
31012,EL SABOR DE MEXICO RESTAURANT & TAYUENA,,Lexington,KY
64268,EL TORO RESTAURANT,,Lexington,KY
89752,ELLO'S ON BROADWAY,,Lexington,KY
62113,EMBASSY SUITES LEXINGTON,,Lexington,KY
81390,EMBRACE UNITED METHODIST CHURCH,,Lexington,KY
72708,EMERSON CENTER,,Lexington,KY
76396,ENOTECA,,Lexington,KY
86708,EQUESTRIAN ROOM KITCHEN,,Lexington,KY
86714,EVERGREEN BAPTIST CHURCH,,Lexington,KY
31624,EXPRESS 11,,Lexington,KY
35860,F & D MARKET,,Lexington,KY
83768,FAIRFIELD INN & SUITES,,Lexington,KY
42875,FAITH LUTHERAN CHILD CARE MINISTRIES,,Lexington,KY
90818,FAMILY CARE CENTER (LFUCG),,Lexington,KY
60888,FARM MARKET,,Lexington,KY
31073,FASIG-TIPTON BAR,,Lexington,KY
31072,FASIG-TIPTON COFFEE SHOP,,Lexington,KY
31070,FASIG-TIPTON MAIN DINING,,Lexington,KY
30942,FAST STOP,,Lexington,KY
47379,"FATBURGER, THE",,Lexington,KY
47556,FAYETTE CO. CO-OP EXT. SERVICE,,Lexington,KY
51962,FAYETTE COUNTY PRESCHOOL,,Lexington,KY
75019,FAYETTE REG. JUV. DET. CTR.,,Lexington,KY
43388,FAZOLI'S - #1607,,Lexington,KY
35843,FAZOLI'S #1601,,Lexington,KY
31104,FAZOLI'S #1605,,Lexington,KY
32207,FAZOLI'S #1606,,Lexington,KY
46590,FAZOLI'S #1624,,Lexington,KY
50583,FAZOLI'S #1658,,Lexington,KY
59209,FAZOLI'S #1785,,Lexington,KY
79784,FEED THE HUNGRY,,Lexington,KY
89403,FIREHOUSE SUBS,,Lexington,KY
92161,FIREHOUSE SUBS,,Lexington,KY
95814,FIREHOUSE SUBS,,Lexington,KY
77652,FIREHOUSE SUBS #301,,Lexington,KY
54104,FIRST CHOICE CHILD CARE CENTER,,Lexington,KY
87711,FIRST PRESBYTERIAN CHURCH,,Lexington,KY
69007,FIRST UNITED METHODIST CHURCH,,Lexington,KY
91424,FIRST WATCH,,Lexington,KY
95028,FIRST WATCH RESTAURANT,,Lexington,KY
